file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,70,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,12
style.css,71,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,46
style.css,72,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,58
style.css,73,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,74,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,75,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,5
style.css,76,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,13
style.css,77,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,31
style.css,78,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,10
style.css,79,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,80,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,81,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,6
style.css,82,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,13
style.css,83,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,19
style.css,84,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,17
style.css,85,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,86,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,87,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,16
style.css,88,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,11
style.css,89,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,12
style.css,90,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,22
